Dataset,Mixture 1,Mixture 2,Experimental Values
Exp2,13,10,50.15
Exp2,14,1,33.72
Exp2,14,3,43.33
Exp2,14,4,29.38
Exp2,14,6,46.25
Exp2,14,12,48.66
Exp2,1,1,86.35
Exp2,2,2,88.77
Exp2,11,11,87.1
Exp2,12,12,86.03
Exp2,1,2,36.36
Exp2,1,4,72.32
Exp2,1,5,37.87
Exp2,1,6,53.61
Exp2,1,9,42.08
Exp2,1,10,32.74
Exp2,2,4,32.69
Exp2,2,12,19.41
Exp2,2,10,22.75
Exp2,2,13,17.71
Exp2,2,14,31.67
Exp2,3,7,61.45
Exp2,3,8,53.04
Exp2,3,9,48.17
Exp2,3,11,53.93
Exp2,3,10,44.81
Exp2,3,13,55.33
Exp2,4,5,27.14
Exp2,4,6,34.71
Exp2,4,8,34.58
Exp2,4,12,16.73
Exp2,4,10,28.72
Exp2,4,13,24.27
Exp2,5,8,54.21
Exp2,5,9,32.66
Exp2,5,11,77.27
Exp2,6,7,28.27
Exp2,6,12,30.6
Exp2,6,11,30.86
Exp2,6,13,28.5
Exp2,7,8,80.55
Exp2,7,9,47.18
Exp2,7,12,51.43
Exp2,7,11,59.58
Exp2,7,10,51.59
Exp2,7,14,49.96
Exp2,8,13,49.31
Exp2,8,14,47.4
Exp2,9,12,27.27
Exp2,9,11,37.15
Exp2,9,14,41.44
Exp2,12,10,61.63
Exp2,11,13,65.32
Exp2,10,14,71.11
Exp2,13,14,46.04
Exp2,14,14,82.22
Exp2,13,13,87.33
Exp2,3,3,89.02
Exp2,4,4,88.41
Exp2,7,7,89.5
Exp6,201,201,64
Exp6,201,211,67
Exp6,202,202,80
Exp6,202,212,49
Exp6,203,203,78
Exp6,203,213,64.64646
Exp6,204,204,64
Exp6,204,214,56.435646
Exp6,205,205,70
Exp6,205,215,60.000004
Exp6,206,206,72
Exp6,206,216,60.000004
Exp6,207,207,91.83673
Exp6,207,217,61.38614
Exp6,208,208,92
Exp6,208,218,62
Exp6,211,211,74
Exp6,212,212,91.83673
Exp6,213,213,78
Exp6,214,214,80
Exp6,215,215,78.43137
Exp6,216,216,86
Exp6,217,217,54.000004
Exp6,218,218,82
Exp6,221,221,72
Exp6,221,231,70
Exp6,222,222,90
Exp6,222,232,58
Exp6,223,223,66
Exp6,223,233,34.343433
Exp6,224,224,68
Exp6,224,234,48
Exp6,225,225,70
Exp6,225,235,45
Exp6,226,226,76
Exp6,226,236,54.545456
Exp6,227,227,72
Exp6,227,237,61
Exp6,228,228,68
Exp6,228,238,57
Exp6,231,231,80
Exp6,232,232,74
Exp6,233,233,72
Exp6,234,234,86
Exp6,235,235,65.30612
Exp6,236,236,74
Exp6,237,237,70
Exp6,238,238,82
Exp6,241,241,72
Exp6,241,251,65
Exp6,242,242,82
Exp6,242,252,66
Exp6,243,243,66
Exp6,243,253,47
Exp6,244,244,76
Exp6,244,254,52
Exp6,245,245,64
Exp6,245,255,50
Exp6,246,246,76
Exp6,246,256,52.999996
Exp6,247,247,86
Exp6,247,257,55.555557
Exp6,248,248,64
Exp6,248,258,58
Exp6,251,251,80
Exp6,252,252,92
Exp6,253,253,66
Exp6,254,254,74
Exp6,255,255,72
Exp6,256,256,88
Exp6,257,257,54.000004
Exp6,258,258,66
Exp6,261,261,62
Exp6,261,271,72
Exp6,262,262,88
Exp6,262,272,70
Exp6,263,263,82.35294
Exp6,263,273,80
Exp6,264,264,76
Exp6,264,274,71.28713
Exp6,265,265,64
Exp6,265,275,65
Exp6,266,266,59.183674
Exp6,266,276,76.237625
Exp6,267,267,63.265305
Exp6,267,277,67
Exp6,268,268,88
Exp6,268,278,68
Exp6,271,271,70
Exp6,272,272,69.38776
Exp6,273,273,62
Exp6,274,274,82
Exp6,275,275,66
Exp6,276,276,80
Exp6,277,277,72
Exp6,278,278,86
Exp6,281,281,80
Exp6,281,291,65
Exp6,282,282,66
Exp6,282,292,82
Exp6,283,283,70
Exp6,283,293,93
Exp6,284,284,86
Exp6,284,294,66
Exp6,285,285,74.5098
Exp6,285,295,66.33663
Exp6,286,286,76
Exp6,286,296,83
Exp6,287,287,86
Exp6,287,297,77
Exp6,288,288,66
Exp6,288,298,49
Exp6,291,291,72.54902
Exp6,292,292,64
Exp6,293,293,80
Exp6,294,294,78
Exp6,295,295,68
Exp6,296,296,76
Exp6,297,297,70.588234
Exp6,298,298,76
